booth,party,votes
Ainslie,ACT Labor,5235
Ainslie,Animal Justice Party,195
Ainslie,Australian Sex Party ACT,35
Ainslie,Canberra Community Voters,195
Ainslie,Canberra Liberals,2590
Ainslie,Community Alliance Party,0
Ainslie,Liberal Democrats,225
Ainslie,Like Canberra,115
Ainslie,Sustainable Australia (ACT),140
Ainslie,The Greens,2620
Ainslie,Ungrouped,540
Ainslie North,ACT Labor,5360
Ainslie North,Animal Justice Party,190
Ainslie North,Australian Sex Party ACT,50
Ainslie North,Canberra Community Voters,245
Ainslie North,Canberra Liberals,2515
Ainslie North,Community Alliance Party,0
Ainslie North,Liberal Democrats,190
Ainslie North,Like Canberra,70
Ainslie North,Sustainable Australia (ACT),180
Ainslie North,The Greens,3305
Ainslie North,Ungrouped,555
Amalgamated,ACT Labor,3110
Amalgamated,Animal Justice Party,255
Amalgamated,Australian Sex Party ACT,485
Amalgamated,Canberra Community Voters,85
Amalgamated,Canberra Liberals,2335
Amalgamated,Community Alliance Party,10
Amalgamated,Liberal Democrats,205
Amalgamated,Like Canberra,115
Amalgamated,Sustainable Australia (ACT),195
Amalgamated,The Greens,1075
Amalgamated,Ungrouped,350
Amaroo,ACT Labor,4670
Amaroo,Animal Justice Party,125
Amaroo,Australian Sex Party ACT,410
Amaroo,Canberra Community Voters,5
Amaroo,Canberra Liberals,3385
Amaroo,Community Alliance Party,0
Amaroo,Liberal Democrats,230
Amaroo,Like Canberra,150
Amaroo,Sustainable Australia (ACT),115
Amaroo,The Greens,500
Amaroo,Ungrouped,340
Aranda,ACT Labor,4510
Aranda,Animal Justice Party,60
Aranda,Australian Sex Party ACT,25
Aranda,Canberra Community Voters,115
Aranda,Canberra Liberals,2495
Aranda,Community Alliance Party,0
Aranda,Liberal Democrats,90
Aranda,Like Canberra,80
Aranda,Sustainable Australia (ACT),340
Aranda,The Greens,2030
Aranda,Ungrouped,1385
Barton,ACT Labor,4935
Barton,Animal Justice Party,150
Barton,Australian Sex Party ACT,65
Barton,Canberra Community Voters,190
Barton,Canberra Liberals,4665
Barton,Community Alliance Party,0
Barton,Liberal Democrats,185
Barton,Like Canberra,115
Barton,Sustainable Australia (ACT),130
Barton,The Greens,2215
Barton,Ungrouped,660
Belconnen,ACT Labor,5490
Belconnen,Animal Justice Party,140
Belconnen,Australian Sex Party ACT,110
Belconnen,Canberra Community Voters,135
Belconnen,Canberra Liberals,2805
Belconnen,Community Alliance Party,0
Belconnen,Liberal Democrats,335
Belconnen,Like Canberra,150
Belconnen,Sustainable Australia (ACT),395
Belconnen,The Greens,2020
Belconnen,Ungrouped,1080
Belconnen (Pre-Poll),ACT Labor,38755
Belconnen (Pre-Poll),Animal Justice Party,885
Belconnen (Pre-Poll),Australian Sex Party ACT,965
Belconnen (Pre-Poll),Canberra Community Voters,1415
Belconnen (Pre-Poll),Canberra Liberals,35020
Belconnen (Pre-Poll),Community Alliance Party,10
Belconnen (Pre-Poll),Liberal Democrats,1835
Belconnen (Pre-Poll),Like Canberra,1070
Belconnen (Pre-Poll),Sustainable Australia (ACT),2470
Belconnen (Pre-Poll),The Greens,8290
Belconnen (Pre-Poll),Ungrouped,6410
Bonner,ACT Labor,4550
Bonner,Animal Justice Party,45
Bonner,Australian Sex Party ACT,255
Bonner,Canberra Community Voters,5
Bonner,Canberra Liberals,3345
Bonner,Community Alliance Party,0
Bonner,Liberal Democrats,235
Bonner,Like Canberra,145
Bonner,Sustainable Australia (ACT),130
Bonner,The Greens,630
Bonner,Ungrouped,240
Bonython,ACT Labor,2625
Bonython,Animal Justice Party,175
Bonython,Australian Sex Party ACT,590
Bonython,Canberra Community Voters,0
Bonython,Canberra Liberals,2660
Bonython,Community Alliance Party,0
Bonython,Liberal Democrats,200
Bonython,Like Canberra,45
Bonython,Sustainable Australia (ACT),105
Bonython,The Greens,365
Bonython,Ungrouped,240
Bruce East,ACT Labor,1680
Bruce East,Animal Justice Party,15
Bruce East,Australian Sex Party ACT,25
Bruce East,Canberra Community Voters,45
Bruce East,Canberra Liberals,1170
Bruce East,Community Alliance Party,0
Bruce East,Liberal Democrats,60
Bruce East,Like Canberra,55
Bruce East,Sustainable Australia (ACT),80
Bruce East,The Greens,510
Bruce East,Ungrouped,345
Calvary Hospital,ACT Labor,515
Calvary Hospital,Animal Justice Party,25
Calvary Hospital,Australian Sex Party ACT,20
Calvary Hospital,Canberra Community Voters,15
Calvary Hospital,Canberra Liberals,335
Calvary Hospital,Community Alliance Party,0
Calvary Hospital,Liberal Democrats,30
Calvary Hospital,Like Canberra,15
Calvary Hospital,Sustainable Australia (ACT),15
