booth,party,votes
Calvary Hospital,The Greens,145
Calvary Hospital,Ungrouped,130
Calwell,ACT Labor,3135
Calwell,Animal Justice Party,250
Calwell,Australian Sex Party ACT,1015
Calwell,Canberra Community Voters,0
Calwell,Canberra Liberals,4005
Calwell,Community Alliance Party,5
Calwell,Liberal Democrats,230
Calwell,Like Canberra,100
Calwell,Sustainable Australia (ACT),150
Calwell,The Greens,610
Calwell,Ungrouped,430
Campbell,ACT Labor,3795
Campbell,Animal Justice Party,115
Campbell,Australian Sex Party ACT,55
Campbell,Canberra Community Voters,240
Campbell,Canberra Liberals,4320
Campbell,Community Alliance Party,0
Campbell,Liberal Democrats,305
Campbell,Like Canberra,110
Campbell,Sustainable Australia (ACT),200
Campbell,The Greens,1375
Campbell,Ungrouped,490
Chapman,ACT Labor,3765
Chapman,Animal Justice Party,170
Chapman,Australian Sex Party ACT,380
Chapman,Canberra Community Voters,0
Chapman,Canberra Liberals,5510
Chapman,Community Alliance Party,105
Chapman,Liberal Democrats,205
Chapman,Like Canberra,135
Chapman,Sustainable Australia (ACT),160
Chapman,The Greens,1305
Chapman,Ungrouped,225
Charnwood,ACT Labor,4230
Charnwood,Animal Justice Party,120
Charnwood,Australian Sex Party ACT,60
Charnwood,Canberra Community Voters,180
Charnwood,Canberra Liberals,3630
Charnwood,Community Alliance Party,0
Charnwood,Liberal Democrats,150
Charnwood,Like Canberra,130
Charnwood,Sustainable Australia (ACT),210
Charnwood,The Greens,740
Charnwood,Ungrouped,1180
Charnwood North,ACT Labor,1460
Charnwood North,Animal Justice Party,40
Charnwood North,Australian Sex Party ACT,5
Charnwood North,Canberra Community Voters,30
Charnwood North,Canberra Liberals,1020
Charnwood North,Community Alliance Party,0
Charnwood North,Liberal Democrats,60
Charnwood North,Like Canberra,30
Charnwood North,Sustainable Australia (ACT),55
Charnwood North,The Greens,285
Charnwood North,Ungrouped,425
Chisholm,ACT Labor,2405
Chisholm,Animal Justice Party,155
Chisholm,Australian Sex Party ACT,705
Chisholm,Canberra Community Voters,0
Chisholm,Canberra Liberals,3105
Chisholm,Community Alliance Party,0
Chisholm,Liberal Democrats,185
Chisholm,Like Canberra,70
Chisholm,Sustainable Australia (ACT),50
Chisholm,The Greens,365
Chisholm,Ungrouped,390
City,ACT Labor,3260
City,Animal Justice Party,125
City,Australian Sex Party ACT,60
City,Canberra Community Voters,65
City,Canberra Liberals,1640
City,Community Alliance Party,0
City,Liberal Democrats,235
City,Like Canberra,85
City,Sustainable Australia (ACT),135
City,The Greens,2000
City,Ungrouped,245
City (Pre-Poll),ACT Labor,23225
City (Pre-Poll),Animal Justice Party,635
City (Pre-Poll),Australian Sex Party ACT,655
City (Pre-Poll),Canberra Community Voters,635
City (Pre-Poll),Canberra Liberals,17570
City (Pre-Poll),Community Alliance Party,60
City (Pre-Poll),Liberal Democrats,1240
City (Pre-Poll),Like Canberra,575
City (Pre-Poll),Sustainable Australia (ACT),745
City (Pre-Poll),The Greens,9120
City (Pre-Poll),Ungrouped,2470
City East,ACT Labor,1610
City East,Animal Justice Party,65
City East,Australian Sex Party ACT,45
City East,Canberra Community Voters,25
City East,Canberra Liberals,815
City East,Community Alliance Party,5
City East,Liberal Democrats,145
City East,Like Canberra,55
City East,Sustainable Australia (ACT),60
City East,The Greens,875
City East,Ungrouped,150
City East (Pre-Poll),ACT Labor,12275
City East (Pre-Poll),Animal Justice Party,390
City East (Pre-Poll),Australian Sex Party ACT,450
City East (Pre-Poll),Canberra Community Voters,320
City East (Pre-Poll),Canberra Liberals,9530
City East (Pre-Poll),Community Alliance Party,25
City East (Pre-Poll),Liberal Democrats,630
City East (Pre-Poll),Like Canberra,350
City East (Pre-Poll),Sustainable Australia (ACT),430
City East (Pre-Poll),The Greens,4265
City East (Pre-Poll),Ungrouped,1210
Conder,ACT Labor,4490
Conder,Animal Justice Party,340
Conder,Australian Sex Party ACT,1365
Conder,Canberra Community Voters,0
Conder,Canberra Liberals,4995
Conder,Community Alliance Party,5
Conder,Liberal Democrats,360
Conder,Like Canberra,105
Conder,Sustainable Australia (ACT),140
Conder,The Greens,705
Conder,Ungrouped,805
Coombs,ACT Labor,2860
Coombs,Animal Justice Party,135
Coombs,Australian Sex Party ACT,215
Coombs,Canberra Community Voters,5
Coombs,Canberra Liberals,3000
Coombs,Community Alliance Party,40
Coombs,Liberal Democrats,110
Coombs,Like Canberra,95
Coombs,Sustainable Australia (ACT),60
Coombs,The Greens,790
Coombs,Ungrouped,85
Curtin,ACT Labor,4460
Curtin,Animal Justice Party,260
Curtin,Australian Sex Party ACT,330
Curtin,Canberra Community Voters,10
Curtin,Canberra Liberals,4345
Curtin,Community Alliance Party,50
Curtin,Liberal Democrats,120
Curtin,Like Canberra,145
Curtin,Sustainable Australia (ACT),175
Curtin,The Greens,1715
Curtin,Ungrouped,190
Deakin,ACT Labor,1645
Deakin,Animal Justice Party,70
Deakin,Australian Sex Party ACT,25
Deakin,Canberra Community Voters,110
Deakin,Canberra Liberals,4105
Deakin,Community Alliance Party,0
Deakin,Liberal Democrats,85
Deakin,Like Canberra,30
Deakin,Sustainable Australia (ACT),75
Deakin,The Greens,660
Deakin,Ungrouped,340
Declaration,ACT Labor,515
Declaration,Animal Justice Party,40
Declaration,Australian Sex Party ACT,85
Declaration,Canberra Community Voters,0
Declaration,Canberra Liberals,490
Declaration,Community Alliance Party,0
Declaration,Liberal Democrats,45
Declaration,Like Canberra,15
Declaration,Sustainable Australia (ACT),25
Declaration,The Greens,170
Declaration,Ungrouped,40
Dickson,ACT Labor,1310
Dickson,Animal Justice Party,30
Dickson,Australian Sex Party ACT,5
Dickson,Canberra Community Voters,70
Dickson,Canberra Liberals,710
Dickson,Community Alliance Party,0
Dickson,Liberal Democrats,80
Dickson,Like Canberra,30
Dickson,Sustainable Australia (ACT),50
Dickson,The Greens,985
Dickson,Ungrouped,100
Downer,ACT Labor,2920
Downer,Animal Justice Party,110
Downer,Australian Sex Party ACT,5
Downer,Canberra Community Voters,150
Downer,Canberra Liberals,1235
Downer,Community Alliance Party,0
Downer,Liberal Democrats,185
Downer,Like Canberra,70
Downer,Sustainable Australia (ACT),55
Downer,The Greens,1445
Downer,Ungrouped,240
Duffy,ACT Labor,3170
Duffy,Animal Justice Party,110
Duffy,Australian Sex Party ACT,360
Duffy,Canberra Community Voters,5
Duffy,Canberra Liberals,3440
Duffy,Community Alliance Party,65
Duffy,Liberal Democrats,105
Duffy,Like Canberra,115
Duffy,Sustainable Australia (ACT),110
Duffy,The Greens,1285
Duffy,Ungrouped,105
Evatt,ACT Labor,4200
Evatt,Animal Justice Party,145
Evatt,Australian Sex Party ACT,465
Evatt,Canberra Community Voters,65
Evatt,Canberra Liberals,3820
Evatt,Community Alliance Party,0
Evatt,Liberal Democrats,260
Evatt,Like Canberra,115
Evatt,Sustainable Australia (ACT),185
Evatt,The Greens,1030
Evatt,Ungrouped,460
Evatt South,ACT Labor,2020
Evatt South,Animal Justice Party,30
Evatt South,Australian Sex Party ACT,170
Evatt South,Canberra Community Voters,10
Evatt South,Canberra Liberals,1605
Evatt South,Community Alliance Party,0
Evatt South,Liberal Democrats,65
Evatt South,Like Canberra,65
Evatt South,Sustainable Australia (ACT),110
Evatt South,The Greens,620
Evatt South,Ungrouped,185
Fadden,ACT Labor,2725
Fadden,Animal Justice Party,120
Fadden,Australian Sex Party ACT,400
Fadden,Canberra Community Voters,0
Fadden,Canberra Liberals,4350
Fadden,Community Alliance Party,5
Fadden,Liberal Democrats,135
Fadden,Like Canberra,55
Fadden,Sustainable Australia (ACT),105
Fadden,The Greens,435
Fadden,Ungrouped,325
Farrer,ACT Labor,3565
Farrer,Animal Justice Party,230
Farrer,Australian Sex Party ACT,400
Farrer,Canberra Community Voters,0
Farrer,Canberra Liberals,5790
Farrer,Community Alliance Party,90
Farrer,Liberal Democrats,215
Farrer,Like Canberra,115
Farrer,Sustainable Australia (ACT),120
Farrer,The Greens,1090
Farrer,Ungrouped,105
Florey,ACT Labor,3540
Florey,Animal Justice Party,55
Florey,Australian Sex Party ACT,30
Florey,Canberra Community Voters,130
Florey,Canberra Liberals,2375
Florey,Community Alliance Party,0
Florey,Liberal Democrats,80
Florey,Like Canberra,95
Florey,Sustainable Australia (ACT),160
Florey,The Greens,445
Florey,Ungrouped,880
Forde,ACT Labor,3430
Forde,Animal Justice Party,40
Forde,Australian Sex Party ACT,180
Forde,Canberra Community Voters,0
Forde,Canberra Liberals,2460
Forde,Community Alliance Party,0
Forde,Liberal Democrats,135
Forde,Like Canberra,70
Forde,Sustainable Australia (ACT),90
Forde,The Greens,435
Forde,Ungrouped,245
Franklin,ACT Labor,3300
Franklin,Animal Justice Party,35
Franklin,Australian Sex Party ACT,155
Franklin,Canberra Community Voters,0
Franklin,Canberra Liberals,1520
Franklin,Community Alliance Party,0
Franklin,Liberal Democrats,110
Franklin,Like Canberra,45
Franklin,Sustainable Australia (ACT),40
Franklin,The Greens,410
Franklin,Ungrouped,110
Fraser,ACT Labor,4645
Fraser,Animal Justice Party,135
Fraser,Australian Sex Party ACT,55
Fraser,Canberra Community Voters,125
Fraser,Canberra Liberals,3930
Fraser,Community Alliance Party,0
Fraser,Liberal Democrats,185
Fraser,Like Canberra,90
Fraser,Sustainable Australia (ACT),175
Fraser,The Greens,755
Fraser,Ungrouped,1035
Garran,ACT Labor,2555
Garran,Animal Justice Party,135
Garran,Australian Sex Party ACT,145
Garran,Canberra Community Voters,0
Garran,Canberra Liberals,3345
Garran,Community Alliance Party,55
Garran,Liberal Democrats,130
Garran,Like Canberra,105
Garran,Sustainable Australia (ACT),80
Garran,The Greens,800
Garran,Ungrouped,100
Gilmore,ACT Labor,2530
Gilmore,Animal Justice Party,230
Gilmore,Australian Sex Party ACT,820
Gilmore,Canberra Community Voters,0
Gilmore,Canberra Liberals,3780
Gilmore,Community Alliance Party,0
Gilmore,Liberal Democrats,180
Gilmore,Like Canberra,80
Gilmore,Sustainable Australia (ACT),95
Gilmore,The Greens,475
Gilmore,Ungrouped,390
Giralang,ACT Labor,2705
Giralang,Animal Justice Party,55
Giralang,Australian Sex Party ACT,330
Giralang,Canberra Community Voters,15
Giralang,Canberra Liberals,2440
Giralang,Community Alliance Party,0
Giralang,Liberal Democrats,185
Giralang,Like Canberra,120
Giralang,Sustainable Australia (ACT),170
Giralang,The Greens,750
Giralang,Ungrouped,345
Gordon,ACT Labor,5580
Gordon,Animal Justice Party,410
Gordon,Australian Sex Party ACT,1645
Gordon,Canberra Community Voters,0
Gordon,Canberra Liberals,6190
Gordon,Community Alliance Party,5
Gordon,Liberal Democrats,375
Gordon,Like Canberra,145
Gordon,Sustainable Australia (ACT),175
Gordon,The Greens,700
Gordon,Ungrouped,750
Gowrie,ACT Labor,2740
Gowrie,Animal Justice Party,175
Gowrie,Australian Sex Party ACT,625
Gowrie,Canberra Community Voters,0
Gowrie,Canberra Liberals,3390
Gowrie,Community Alliance Party,0
Gowrie,Liberal Democrats,240
Gowrie,Like Canberra,40
Gowrie,Sustainable Australia (ACT),155
Gowrie,The Greens,505
Gowrie,Ungrouped,380
Griffith,ACT Labor,2805
Griffith,Animal Justice Party,120
Griffith,Australian Sex Party ACT,80
Griffith,Canberra Community Voters,130
Griffith,Canberra Liberals,3395
Griffith,Community Alliance Party,0
Griffith,Liberal Democrats,200
Griffith,Like Canberra,85
Griffith,Sustainable Australia (ACT),80
Griffith,The Greens,955
Griffith,Ungrouped,425
Gungahlin,ACT Labor,6090
Gungahlin,Animal Justice Party,135
Gungahlin,Australian Sex Party ACT,490
Gungahlin,Canberra Community Voters,5
Gungahlin,Canberra Liberals,3680
Gungahlin,Community Alliance Party,5
Gungahlin,Liberal Democrats,470
Gungahlin,Like Canberra,235
Gungahlin,Sustainable Australia (ACT),130
Gungahlin,The Greens,1000
Gungahlin,Ungrouped,275
Gungahlin (Pre-poll),ACT Labor,29725
Gungahlin (Pre-poll),Animal Justice Party,595
Gungahlin (Pre-poll),Australian Sex Party ACT,2155
Gungahlin (Pre-poll),Canberra Community Voters,210
Gungahlin (Pre-poll),Canberra Liberals,27055
Gungahlin (Pre-poll),Community Alliance Party,5
Gungahlin (Pre-poll),Liberal Democrats,2130
Gungahlin (Pre-poll),Like Canberra,735
Gungahlin (Pre-poll),Sustainable Australia (ACT),930
Gungahlin (Pre-poll),The Greens,3570
Gungahlin (Pre-poll),Ungrouped,1750
Hall,ACT Labor,405
Hall,Animal Justice Party,30
Hall,Australian Sex Party ACT,35
Hall,Canberra Community Voters,0
Hall,Canberra Liberals,530
Hall,Community Alliance Party,0
Hall,Liberal Democrats,25
Hall,Like Canberra,10
Hall,Sustainable Australia (ACT),40
Hall,The Greens,205
Hall,Ungrouped,65
Harrison,ACT Labor,5600
Harrison,Animal Justice Party,80
Harrison,Australian Sex Party ACT,425
Harrison,Canberra Community Voters,5
Harrison,Canberra Liberals,3225
Harrison,Community Alliance Party,0
Harrison,Liberal Democrats,200
Harrison,Like Canberra,100
Harrison,Sustainable Australia (ACT),115
Harrison,The Greens,850
Harrison,Ungrouped,255
Holder,ACT Labor,3355
Holder,Animal Justice Party,160
Holder,Australian Sex Party ACT,345
Holder,Canberra Community Voters,0
Holder,Canberra Liberals,4565
Holder,Community Alliance Party,55
Holder,Liberal Democrats,120
Holder,Like Canberra,70
Holder,Sustainable Australia (ACT),100
Holder,The Greens,1050
Holder,Ungrouped,140
Holt,ACT Labor,5325
Holt,Animal Justice Party,145
Holt,Australian Sex Party ACT,40
Holt,Canberra Community Voters,205
Holt,Canberra Liberals,3775
Holt,Community Alliance Party,0
Holt,Liberal Democrats,205
Holt,Like Canberra,150
Holt,Sustainable Australia (ACT),285
Holt,The Greens,1070
Holt,Ungrouped,1370
Hughes,ACT Labor,2720
Hughes,Animal Justice Party,160
Hughes,Australian Sex Party ACT,230
Hughes,Canberra Community Voters,5
Hughes,Canberra Liberals,3740
Hughes,Community Alliance Party,20
Hughes,Liberal Democrats,125
Hughes,Like Canberra,115
Hughes,Sustainable Australia (ACT),165
Hughes,The Greens,1150
Hughes,Ungrouped,105
Interstate,ACT Labor,1040
Interstate,Animal Justice Party,65
Interstate,Australian Sex Party ACT,10
Interstate,Canberra Community Voters,0
Interstate,Canberra Liberals,825
Interstate,Community Alliance Party,15
Interstate,Liberal Democrats,95
Interstate,Like Canberra,50
Interstate,Sustainable Australia (ACT),45
Interstate,The Greens,475
Interstate,Ungrouped,85
Isabella Plains,ACT Labor,3255
Isabella Plains,Animal Justice Party,195
Isabella Plains,Australian Sex Party ACT,895
Isabella Plains,Canberra Community Voters,0
Isabella Plains,Canberra Liberals,3665
Isabella Plains,Community Alliance Party,0
Isabella Plains,Liberal Democrats,220
Isabella Plains,Like Canberra,55
Isabella Plains,Sustainable Australia (ACT),85
Isabella Plains,The Greens,410
Isabella Plains,Ungrouped,380
Kaleen,ACT Labor,4100
Kaleen,Animal Justice Party,100
Kaleen,Australian Sex Party ACT,335
Kaleen,Canberra Community Voters,5
Kaleen,Canberra Liberals,3705
Kaleen,Community Alliance Party,0
Kaleen,Liberal Democrats,235
Kaleen,Like Canberra,105
Kaleen,Sustainable Australia (ACT),130
Kaleen,The Greens,735
Kaleen,Ungrouped,390
Kaleen South,ACT Labor,2960
Kaleen South,Animal Justice Party,60
Kaleen South,Australian Sex Party ACT,285
Kaleen South,Canberra Community Voters,10
Kaleen South,Canberra Liberals,2275
Kaleen South,Community Alliance Party,0
Kaleen South,Liberal Democrats,135
Kaleen South,Like Canberra,80
Kaleen South,Sustainable Australia (ACT),170
Kaleen South,The Greens,1010
Kaleen South,Ungrouped,300
Kambah North,ACT Labor,2695
Kambah North,Animal Justice Party,150
Kambah North,Australian Sex Party ACT,365
Kambah North,Canberra Community Voters,0
Kambah North,Canberra Liberals,2930
Kambah North,Community Alliance Party,50
Kambah North,Liberal Democrats,145
Kambah North,Like Canberra,95
Kambah North,Sustainable Australia (ACT),80
Kambah North,The Greens,680
Kambah North,Ungrouped,115
Kambah South,ACT Labor,3600
Kambah South,Animal Justice Party,315
Kambah South,Australian Sex Party ACT,790
Kambah South,Canberra Community Voters,0
Kambah South,Canberra Liberals,3140
Kambah South,Community Alliance Party,60
Kambah South,Liberal Democrats,110
Kambah South,Like Canberra,115
Kambah South,Sustainable Australia (ACT),130
Kambah South,The Greens,855
Kambah South,Ungrouped,180
Kambah West,ACT Labor,4995
Kambah West,Animal Justice Party,290
Kambah West,Australian Sex Party ACT,690
Kambah West,Canberra Community Voters,0
Kambah West,Canberra Liberals,5035
Kambah West,Community Alliance Party,125
Kambah West,Liberal Democrats,195
Kambah West,Like Canberra,130
Kambah West,Sustainable Australia (ACT),170
Kambah West,The Greens,985
Kambah West,Ungrouped,195
Latham,ACT Labor,2925
Latham,Animal Justice Party,60
Latham,Australian Sex Party ACT,40
Latham,Canberra Community Voters,90
Latham,Canberra Liberals,2190
Latham,Community Alliance Party,0
Latham,Liberal Democrats,120
Latham,Like Canberra,110
Latham,Sustainable Australia (ACT),205
Latham,The Greens,545
Latham,Ungrouped,730
Lyneham,ACT Labor,7375
Lyneham,Animal Justice Party,160
Lyneham,Australian Sex Party ACT,45
Lyneham,Canberra Community Voters,285
Lyneham,Canberra Liberals,3260
Lyneham,Community Alliance Party,0
Lyneham,Liberal Democrats,295
Lyneham,Like Canberra,110
Lyneham,Sustainable Australia (ACT),235
Lyneham,The Greens,4290
Lyneham,Ungrouped,730
Lyons,ACT Labor,1935
Lyons,Animal Justice Party,105
Lyons,Australian Sex Party ACT,195
Lyons,Canberra Community Voters,5
Lyons,Canberra Liberals,1810
Lyons,Community Alliance Party,40
Lyons,Liberal Democrats,105
Lyons,Like Canberra,95
Lyons,Sustainable Australia (ACT),40
Lyons,The Greens,795
Lyons,Ungrouped,110
Macgregor,ACT Labor,4990
Macgregor,Animal Justice Party,110
Macgregor,Australian Sex Party ACT,30
Macgregor,Canberra Community Voters,140
Macgregor,Canberra Liberals,3340
Macgregor,Community Alliance Party,0
Macgregor,Liberal Democrats,140
Macgregor,Like Canberra,155
Macgregor,Sustainable Australia (ACT),160
Macgregor,The Greens,815
Macgregor,Ungrouped,1170
Macquarie,ACT Labor,2975
Macquarie,Animal Justice Party,95
Macquarie,Australian Sex Party ACT,0
Macquarie,Canberra Community Voters,95
Macquarie,Canberra Liberals,2010
Macquarie,Community Alliance Party,0
Macquarie,Liberal Democrats,120
Macquarie,Like Canberra,80
Macquarie,Sustainable Australia (ACT),150
Macquarie,The Greens,990
Macquarie,Ungrouped,755
Mawson,ACT Labor,3630
Mawson,Animal Justice Party,225
Mawson,Australian Sex Party ACT,325
Mawson,Canberra Community Voters,10
Mawson,Canberra Liberals,4355
Mawson,Community Alliance Party,110
Mawson,Liberal Democrats,215
Mawson,Like Canberra,185
Mawson,Sustainable Australia (ACT),120
Mawson,The Greens,1090
Mawson,Ungrouped,180
Melba,ACT Labor,4120
Melba,Animal Justice Party,115
Melba,Australian Sex Party ACT,20
Melba,Canberra Community Voters,195
Melba,Canberra Liberals,2905
Melba,Community Alliance Party,0
Melba,Liberal Democrats,55
Melba,Like Canberra,90
Melba,Sustainable Australia (ACT),185
Melba,The Greens,1040
Melba,Ungrouped,1195
Monash,ACT Labor,3495
Monash,Animal Justice Party,260
Monash,Australian Sex Party ACT,585
Monash,Canberra Community Voters,0
Monash,Canberra Liberals,4160
Monash,Community Alliance Party,10
Monash,Liberal Democrats,270
Monash,Like Canberra,140
Monash,Sustainable Australia (ACT),150
Monash,The Greens,525
Monash,Ungrouped,425
Narrabundah,ACT Labor,3605
Narrabundah,Animal Justice Party,190
Narrabundah,Australian Sex Party ACT,90
Narrabundah,Canberra Community Voters,180
Narrabundah,Canberra Liberals,2835
Narrabundah,Community Alliance Party,0
Narrabundah,Liberal Democrats,295
Narrabundah,Like Canberra,80
Narrabundah,Sustainable Australia (ACT),155
Narrabundah,The Greens,1185
Narrabundah,Ungrouped,385
Ngunnawal,ACT Labor,6815
Ngunnawal,Animal Justice Party,235
Ngunnawal,Australian Sex Party ACT,785
Ngunnawal,Canberra Community Voters,10
Ngunnawal,Canberra Liberals,4010
Ngunnawal,Community Alliance Party,0
Ngunnawal,Liberal Democrats,360
Ngunnawal,Like Canberra,195
Ngunnawal,Sustainable Australia (ACT),200
Ngunnawal,The Greens,1145
Ngunnawal,Ungrouped,445
Nicholls,ACT Labor,5875
Nicholls,Animal Justice Party,70
Nicholls,Australian Sex Party ACT,590
Nicholls,Canberra Community Voters,30
Nicholls,Canberra Liberals,7315
Nicholls,Community Alliance Party,0
Nicholls,Liberal Democrats,305
Nicholls,Like Canberra,150
Nicholls,Sustainable Australia (ACT),195
Nicholls,The Greens,905
Nicholls,Ungrouped,650
Oaks Estate,ACT Labor,375
Oaks Estate,Animal Justice Party,20
Oaks Estate,Australian Sex Party ACT,60
Oaks Estate,Canberra Community Voters,45
Oaks Estate,Canberra Liberals,430
Oaks Estate,Community Alliance Party,0
Oaks Estate,Liberal Democrats,55
Oaks Estate,Like Canberra,20
Oaks Estate,Sustainable Australia (ACT),20
Oaks Estate,The Greens,145
Oaks Estate,Ungrouped,60
Page,ACT Labor,3575
Page,Animal Justice Party,55
Page,Australian Sex Party ACT,5
Page,Canberra Community Voters,245
Page,Canberra Liberals,2615
Page,Community Alliance Party,0
Page,Liberal Democrats,60
Page,Like Canberra,50
Page,Sustainable Australia (ACT),110
Page,The Greens,1055
Page,Ungrouped,910
Palmerston,ACT Labor,6325
Palmerston,Animal Justice Party,95
Palmerston,Australian Sex Party ACT,475
Palmerston,Canberra Community Voters,0
Palmerston,Canberra Liberals,4030
Palmerston,Community Alliance Party,0
Palmerston,Liberal Democrats,285
Palmerston,Like Canberra,155
Palmerston,Sustainable Australia (ACT),175
Palmerston,The Greens,920
Palmerston,Ungrouped,535
Pearce,ACT Labor,4080
Pearce,Animal Justice Party,170
Pearce,Australian Sex Party ACT,545
Pearce,Canberra Community Voters,5
Pearce,Canberra Liberals,5245
Pearce,Community Alliance Party,80
Pearce,Liberal Democrats,165
Pearce,Like Canberra,85
Pearce,Sustainable Australia (ACT),165
Pearce,The Greens,950
Pearce,Ungrouped,170
Postal,ACT Labor,22300
Postal,Animal Justice Party,1270
Postal,Australian Sex Party ACT,1270
Postal,Canberra Community Voters,530
Postal,Canberra Liberals,27530
Postal,Community Alliance Party,115
Postal,Liberal Democrats,1070
Postal,Like Canberra,755
Postal,Sustainable Australia (ACT),1165
Postal,The Greens,6035
Postal,Ungrouped,2365
Red Hill,ACT Labor,3845
Red Hill,Animal Justice Party,90
Red Hill,Australian Sex Party ACT,20
Red Hill,Canberra Community Voters,145
Red Hill,Canberra Liberals,5155
Red Hill,Community Alliance Party,0
Red Hill,Liberal Democrats,170
Red Hill,Like Canberra,85
Red Hill,Sustainable Australia (ACT),140
Red Hill,The Greens,1575
Red Hill,Ungrouped,670
Richardson,ACT Labor,2540
Richardson,Animal Justice Party,185
Richardson,Australian Sex Party ACT,825
Richardson,Canberra Community Voters,0
Richardson,Canberra Liberals,2375
Richardson,Community Alliance Party,0
Richardson,Liberal Democrats,195
Richardson,Like Canberra,110
Richardson,Sustainable Australia (ACT),130
